date_range_name,data_ranges
2019_01,"[{'start_date': '01/01/2019', 'end_date': '01/31/2019'}]"
2019_02,"[{'start_date': '02/01/2019', 'end_date': '02/28/2019'}]"
2019_03,"[{'start_date': '03/01/2019', 'end_date': '03/31/2019'}]"
2019_04,"[{'start_date': '04/01/2019', 'end_date': '04/30/2019'}]"
2019_05,"[{'start_date': '05/01/2019', 'end_date': '05/31/2019'}]"
2019_06,"[{'start_date': '06/01/2019', 'end_date': '06/30/2019'}]"
2019_07,"[{'start_date': '07/01/2019', 'end_date': '07/31/2019'}]"
2019_08,"[{'start_date': '08/01/2019', 'end_date': '08/31/2019'}]"
2019_09,"[{'start_date': '09/01/2019', 'end_date': '09/30/2019'}]"
2019_10,"[{'start_date': '10/01/2019', 'end_date': '10/31/2019'}]"
2019_11,"[{'start_date': '11/01/2019', 'end_date': '11/30/2019'}]"
2019_12,"[{'start_date': '12/01/2019', 'end_date': '12/31/2019'}]"
2019_BM,"[{'start_date': '04/01/2019', 'end_date': '10/31/2019'}]"
2019_YR,"[{'start_date': '01/01/2019', 'end_date': '12/31/2019'}]"
2020_01,"[{'start_date': '01/01/2020', 'end_date': '01/31/2020'}]"
2020_02,"[{'start_date': '02/01/2020', 'end_date': '02/29/2020'}]"
2020_03,"[{'start_date': '03/01/2020', 'end_date': '03/31/2020'}]"
2020_04,"[{'start_date': '04/01/2020', 'end_date': '04/30/2020'}]"
2020_05,"[{'start_date': '05/01/2020', 'end_date': '05/31/2020'}]"
2020_06,"[{'start_date': '06/01/2020', 'end_date': '06/30/2020'}]"
2020_07,"[{'start_date': '07/01/2020', 'end_date': '07/31/2020'}]"
2020_08,"[{'start_date': '08/01/2020', 'end_date': '08/31/2020'}]"
2020_09,"[{'start_date': '09/01/2020', 'end_date': '09/30/2020'}]"
2020_10,"[{'start_date': '10/01/2020', 'end_date': '10/31/2020'}]"
2020_11,"[{'start_date': '11/01/2020', 'end_date': '11/30/2020'}]"
2020_12,"[{'start_date': '12/01/2020', 'end_date': '12/31/2020'}]"
2020_BM,"[{'start_date': '04/01/2020', 'end_date': '10/31/2020'}]"
2020_YR,"[{'start_date': '01/01/2020', 'end_date': '12/31/2020'}]"
2021_01,"[{'start_date': '01/01/2021', 'end_date': '01/31/2021'}]"
2021_02,"[{'start_date': '02/01/2021', 'end_date': '02/28/2021'}]"
2021_03,"[{'start_date': '03/01/2021', 'end_date': '03/31/2021'}]"
2021_04,"[{'start_date': '04/01/2021', 'end_date': '04/30/2021'}]"
2021_05,"[{'start_date': '05/01/2021', 'end_date': '05/31/2021'}]"
2021_06,"[{'start_date': '06/01/2021', 'end_date': '06/30/2021'}]"
2021_07,"[{'start_date': '07/01/2021', 'end_date': '07/31/2021'}]"
2021_08,"[{'start_date': '08/01/2021', 'end_date': '08/31/2021'}]"
2021_09,"[{'start_date': '09/01/2021', 'end_date': '09/30/2021'}]"
2021_10,"[{'start_date': '10/01/2021', 'end_date': '10/31/2021'}]"
2021_11,"[{'start_date': '11/01/2021', 'end_date': '11/30/2021'}]"
2021_12,"[{'start_date': '12/01/2021', 'end_date': '12/31/2021'}]"
2021_BM,"[{'start_date': '04/01/2021', 'end_date': '10/31/2021'}]"
2021_YR,"[{'start_date': '01/01/2021', 'end_date': '12/31/2021'}]"
